event,file_event,lam,prt_index,lam_pdg,lam_mom_x,lam_mom_y,lam_mom_z,lam_endpoint_x,lam_endpoint_y,lam_endpoint_z,neut_pdg,neut_mom_x,neut_mom_y,neut_mom_z,neut_endpoint_x,neut_endpoint_y,neut_endpoint_z,pizero_pdg,pizero_mom_x,pizero_mom_y,pizero_mom_z,pizero_endpoint_x,pizero_endpoint_y,pizero_endpoint_z
3,2,0,4,3122,-1.0625901222229004,-0.03728979825973511,39.99549102783203,-19.561547957571683,-0.678777551655502,757.1401825978689,2112,-0.8400852084159851,0.011016381904482841,30.58779525756836,-989.5162028858365,12.280041807166146,36078.68879336063,111,-0.22250492870807648,-0.0483061783015728,9.407694816589355,-19.56161123445344,-0.6787912891684938,757.1428579974549
10,9,0,4,3122,-1.0264784097671509,-0.15446609258651733,39.721473693847656,-0.9432360808589345,-0.1890250644879274,-22.349313413681998,2112,-0.8222901821136475,-0.03225468099117279,33.18446731567383,-892.6692682119849,-35.39985216146702,35950.97513895352,111,-0.2041882425546646,-0.12221140414476395,6.53700590133667,-0.9432530319651862,-0.1890352101189053,-22.348770730718254
11,10,0,4,3122,-1.0022965669631958,-0.054561883211135864,40.2536735534668,-77.6596655428291,-4.214328560446441,3100.0289046806,2112,-0.7491148114204407,0.027600303292274475,31.919279098510742,-845.1572058422308,24.06326714244784,35802.58336538269,111,-0.25318172574043274,-0.08216218650341034,8.334395408630371,-77.65969383688198,-4.214337742394113,3100.029836082107
13,12,0,4,3122,-0.9548096060752869,-0.004006470087915659,40.47862243652344,-9.123261840803696,-0.047004721943759216,399.5957059380115,2112,-0.8096224069595337,-0.05960460752248764,36.72271728515625,-788.3562344544105,-57.414334066966525,35743.91396208009,111,-0.14518718421459198,0.05559813976287842,3.7559027671813965,-9.123263529185964,-0.047004075392778996,399.5957496154208
21,20,0,4,3122,-0.982332170009613,-0.05302901566028595,38.93378829956055,-40.0322667479701,-2.1571259556468707,1586.8601891771086,2112,-0.7971656918525696,-0.1186484768986702,30.68538475036621,-933.2635244738011,-135.1127979639996,35964.378914581204,111,-0.18516649305820465,0.06561946123838425,8.24840259552002,-40.03228612177019,-2.1571190899425225,1586.8610521999055
22,21,0,4,3122,-0.9622354507446289,0.026684774085879326,38.89998245239258,-57.320241868030564,1.5816846810255638,2312.469545713035,2112,-0.6926913261413574,0.06597582250833511,30.539535522460938,-817.0674095343759,73.93398815347848,35808.30522063411,111,-0.2695441246032715,-0.03929104655981064,8.360447883605957,-57.32024963179318,1.5816835493134251,2312.469786521577
23,22,0,4,3122,-1.056119441986084,-0.03894762694835663,38.96268844604492,-18.264449520413837,-0.7059086309623608,685.6902352824983,2112,-0.9379447102546692,0.04027239605784416,35.3880729675293,-965.0826632229246,41.01528031004783,36410.01642562718,111,-0.1181747317314148,-0.07922001928091049,3.5746169090270996,-18.264583988602134,-0.7059987735210032,685.6943027533013
24,23,0,4,3122,-0.9401012063026428,0.0631679818034172,38.18153381347656,-37.69523119104964,2.524054356023701,1578.2238877372224,2112,-0.7056182622909546,0.055619530379772186,28.80921745300293,-881.8542464943811,69.22018931759972,36032.89917615607,111,-0.23448294401168823,0.007548450026661158,9.372318267822266,-37.69530002528277,2.5240565719279715,1578.2266390517984
31,30,0,4,3122,-0.9349260926246643,0.08292942494153976,39.690040588378906,-39.53685955275304,3.4648962672389736,1645.9281539125275,2112,-0.7468491792678833,0.10058126598596573,35.406593322753906,-423.8976925802535,55.22835845975031,19867.689269727085,111,-0.1880769431591034,-0.017651841044425964,4.283449172973633,-39.536866214815845,3.4648956419753367,1645.9283056408883
38,37,0,4,3122,-0.8450449109077454,0.037560950964689255,38.90349578857422,-11.210392019274236,0.4762766518055556,493.8010703302413,2112,-0.8181834816932678,-0.010980443097651005,33.3468132019043,-877.977709766221,-11.156187068048844,35820.754259728245,111,-0.026861442252993584,0.04854139685630798,5.55668306350708,-11.210392092870064,0.4762767848008092,493.80108555461743
43,42,0,4,3122,-0.9922225475311279,-0.018347930163145065,40.292686462402344,-53.19330915207635,-0.9788687377918148,2137.9005763155246,2112,-0.8388215899467468,-0.04874124750494957,36.775146484375,-822.005920710757,-45.652115127800634,35843.753264228515,111,-0.1534009575843811,0.030393315479159355,3.5175375938415527,-53.19331052532213,-0.9788684657107647,2137.9006078045304
58,57,0,4,3122,-1.1069486141204834,-0.06532616168260574,40.60343933105469,-53.574913221691816,-3.1579133853665264,1940.1231023868131,2112,-0.9164143800735474,0.016550064086914062,35.849090576171875,-922.7550977938305,12.539120639082405,35941.46383236607,111,-0.19053421914577484,-0.0818762257695198,4.754350662231445,-53.57491477583085,-3.157914053210057,1940.1231411668418
64,63,0,4,3122,-0.9807536005973816,-0.0317557193338871,40.59238052368164,-15.004697350635666,-0.5190969328001975,707.1742779468175,2112,-0.7959952354431152,-0.0008075790829025209,31.09209632873535,-913.3467146646628,-1.5485774784674315,35799.8454207369,111,-0.18475836515426636,-0.03094814158976078,9.500284194946289,-15.004705743401207,-0.5190983386390416,707.1747095032259
66,65,0,4,3122,-1.019169807434082,0.15538014471530914,39.590003967285156,-18.164331792190183,2.7999950872198625,757.5981013172351,2112,-0.7927241921424866,0.03657222166657448,32.11005401611328,-885.9446377690749,43.02274431078936,35900.126189745795,111,-0.22644555568695068,0.11880793422460556,7.47995138168335,-18.16435675052306,2.8000081819695106,757.5989257410533
74,73,0,4,3122,-0.9575473070144653,0.07061317563056946,39.504215240478516,-72.99496808452145,5.363669420458426,3125.0567382304353,2112,-0.782984733581543,0.0030930640641599894,30.624032974243164,-908.3668236751078,8.652860451981585,35798.144869654294,111,-0.17456260323524475,0.06752011179924011,8.880184173583984,-72.99499530590387,5.363679949579754,3125.058123011006
76,75,0,4,3122,-1.0919264554977417,-0.0422283299267292,39.95798110961914,-24.675705180922925,-0.956068129864046,896.4612352347939,2112,-0.8637024760246277,-0.08438549935817719,30.74549102783203,-1011.845034811344,-97.95710977724136,36035.69435022567,111,-0.22822391986846924,0.04215717315673828,9.212491989135742,-24.67574462013113,-0.9560608447136492,896.4628272388435
78,77,0,4,3122,-0.9596835970878601,0.05830856040120125,37.9780158996582,-13.287401033949227,0.7974188216959798,502.2828348827439,2112,-0.8577695488929749,0.14762097597122192,32.631500244140625,-941.3260714907808,109.20655717000004,35748.12869451418,111,-0.10191403329372406,-0.08931241184473038,5.346517086029053,-13.28742425429504,0.7973984725354272,502.2840530463853
86,85,0,4,3122,-1.1791534423828125,-0.09786393493413925,40.463043212890625,-82.53134801952703,-6.7970092738159575,2803.1859898599278,2112,-1.0649213790893555,-0.04802738502621651,37.55112838745117,-923.6196856331485,-44.72964245357127,32461.5409848465,111,-0.11423207074403763,-0.04983655363321304,2.9119129180908203,-82.53136445506645,-6.7970164442244565,2803.1864088215934
90,89,0,4,3122,-0.9083124995231628,0.06177927181124687,39.13481140136719,-65.49019086184816,4.49119381254396,2761.5158389598027,2112,-0.8547534942626953,0.12187480926513672,35.89263916015625,-850.9160471203145,116.48094045775136,35742.962854074525,111,-0.053559012711048126,-0.060095541179180145,3.2421703338623047,-65.49020734080425,4.4911753224389575,2761.516836505894
91,90,0,4,3122,-1.1223468780517578,-0.0682794600725174,40.19113540649414,-8.736827169191853,-0.5456841672216357,202.7324465941265,2112,-1.0639097690582275,-0.06428355723619461,34.399715423583984,-221.93393085156606,-13.427479646102325,7096.098682168957,111,-0.058437149971723557,-0.003995906095951796,5.791419982910156,-8.736846242496645,-0.545685471445629,202.73433685600682
92,91,0,4,3122,-0.9614014029502869,-0.11275794357061386,39.77960205078125,-4.403071177413034,-0.5091980195377175,162.38489853016685,2112,-0.726500928401947,-0.0730680376291275,34.204158782958984,-465.89696368090864,-46.92407489996384,21889.831278182537,111,-0.23490045964717865,-0.03968990966677666,5.575442314147949,-4.403071196162774,-0.5091980227057634,162.3848989751983
98,97,0,4,3122,-0.9504095911979675,-0.19216327369213104,40.5832405090332,-69.09071756490894,-14.012659037816396,2911.4836096610184,2112,-0.8196855187416077,-0.18995223939418793,37.48672103881836,-181.20919362983716,-41.09874333377739,8081.621825404768,111,-0.13072405755519867,-0.0022110387217253447,3.0965182781219482,-69.09072934497036,-14.012659237061829,2911.4838887004953
102,101,0,4,3122,-1.0232375860214233,0.015447322279214859,39.48609924316406,-12.302227740476237,0.16558299847648572,507.5583702667275,2112,-0.9328371286392212,0.04850307106971741,32.41081619262695,-1026.7288998100428,52.91092133441078,35753.15008603174,111,-0.09040043503046036,-0.03305574879050255,7.075281620025635,-12.302259248131584,0.16557147741315256,507.56083624525667
111,110,0,4,3122,-0.9518389105796814,-0.007735638413578272,38.02906799316406,-8.843487017503717,-0.07669648863061507,364.21895203969586,2112,-0.8483504056930542,-0.10188135504722595,33.63450622558594,-911.5300554114403,-108.48347020900108,36152.98629172294,111,-0.10348846763372421,0.09414571523666382,4.394561767578125,-8.843533392230494,-0.07665430052775767,364.220921308496
112,111,0,4,3122,-1.034762978553772,0.030150506645441055,39.897132873535156,-18.368602861799392,0.5101483681712449,765.7677351336682,2112,-0.7351802587509155,0.022156720981001854,31.219987869262695,-844.0464820770678,25.39427061312005,35828.8072577455,111,-0.2995827794075012,0.007993784733116627,8.677143096923828,-18.368610322028736,0.5101485672329872,765.7679512124565
115,114,0,4,3122,-1.0147908926010132,0.10575313866138458,39.514400482177734,-38.02114118448286,3.9724891418128916,1462.7762843620644,2112,-0.9808516502380371,0.14682619273662567,35.40226364135742,-1043.6412044218564,167.37755828113606,35964.24303562111,111,-0.03393920138478279,-0.041073061525821686,4.112138748168945,-38.021141222016574,3.972489096389764,1462.7762889097214
122,121,0,4,3122,-1.0812238454818726,-0.03260885924100876,40.49123764038086,-2.1531910383623813,-0.07327564841364614,79.75698218262096,2112,-0.8787670135498047,-0.04509817808866501,36.21508026123047,-870.7432787517265,-44.76242314581983,35880.15468389213,111,-0.20245681703090668,0.01248931884765625,4.276159286499023,-2.153192492956081,-0.07327555868149571,79.7570129055887
127,126,0,4,3122,-1.15940260887146,-0.009715073741972446,39.432979583740234,-80.74039539904213,-0.7213248461167443,2746.781157849545,2112,-0.9050000905990601,0.07438603043556213,31.206768035888672,-197.91579293099528,8.909847992661517,6787.294909343719,111,-0.2544024586677551,-0.084101103246212,8.226212501525879,-80.74044481471363,-0.7213411820931257,2746.7827557265396
128,127,0,4,3122,-1.113014817237854,0.15684261918067932,40.65107345581055,-41.82026913687754,5.874204376983601,1572.1272595235364,2112,-0.869221568107605,0.185760959982872,31.482868194580078,-191.03988462691441,37.76386140817773,6976.803796899399,111,-0.24379317462444305,-0.02891833707690239,9.168205261230469,-41.8202948621761,5.874201325491935,1572.1282269617052
130,129,0,4,3122,-1.0320006608963013,-0.10322820395231247,39.853755950927734,-24.553595688032992,-2.4632936729657633,921.4260670494544,2112,-0.8800131678581238,-0.07358037680387497,31.151418685913086,-1014.1853872903922,-85.59863602422737,35945.65127432045,111,-0.15198752284049988,-0.0296478308737278,8.702336311340332,-24.55359730490043,-2.4632939883641143,921.4261596262922
134,133,0,4,3122,-1.0753353834152222,0.12415007501840591,40.22166061401367,-18.840099389641676,2.171968335110513,750.6072232737424,2112,-0.9747454524040222,0.08920526504516602,32.82521438598633,-173.99868444401045,16.37153498144687,5975.677771304438,111,-0.10058999061584473,0.0349448136985302,7.396448135375977,-18.84012304427264,2.171976552694307,750.6089626143543
135,134,0,4,3122,-0.9526052474975586,0.05898516997694969,38.58441162109375,-28.80362874718354,1.7748741056454023,1149.0485415616117,2112,-0.9238919019699097,0.031927235424518585,33.359474182128906,-995.4580728534194,35.17742642391479,36052.167815325505,111,-0.02871333435177803,0.027057932689785957,5.224936485290527,-28.803637666811202,1.774882511032017,1149.0501646572993
136,135,0,4,3122,-0.9195322394371033,-0.07571835815906525,40.8543815612793,-23.839665966584683,-1.984289932107251,1062.2023982052342,2112,-0.7710123062133789,-0.11768583953380585,37.0542106628418,-128.13319875909758,-17.903455309308224,6074.463178789867,111,-0.14851996302604675,0.0419674813747406,3.8001701831817627,-23.839671860324486,-1.9842882667055168,1062.2025490079504
142,141,0,4,3122,-0.9481279253959656,0.0013842241605743766,39.500450134277344,-79.45467300343665,0.11374596062287402,3290.4794391027654,2112,-0.6918124556541443,-0.010402035899460316,33.1010856628418,-767.397124980066,-10.230100324108465,36206.39539851715,111,-0.2563154399394989,0.011786259710788727,6.39936637878418,-79.45467325401137,0.1137459721451559,3290.4794453588047
146,145,0,4,3122,-0.9353983998298645,-0.019830599427223206,38.96137237548828,-62.986789388475984,-1.3502595357586542,2658.849897735016,2112,-0.8667839765548706,-0.007509345654398203,31.97303009033203,-962.2107973665635,-9.141364467885605,35828.49058174865,111,-0.06861446052789688,-0.01232125423848629,6.988342761993408,-62.98679778378586,-1.350261043323462,2658.8507527923707
148,147,0,4,3122,-0.9815549254417419,0.006773198023438454,37.7469367980957,-38.53415757061478,0.2601914507520883,1506.9120987123079,2112,-0.7832378149032593,-0.03922408074140549,33.36079025268555,-844.2261010624825,-40.08838138960109,35824.10144746172,111,-0.19831715524196625,0.04599728062748909,4.386147499084473,-38.534164858848534,0.26019314117025977,1506.9122599049638
